Gene;ko;Pathway;compound_pathway
ahpC;K24119;A_Finnerty_pathway;Alkanes
ahpC;K03386;A_Finnerty_pathway;Alkanes
ahpF;K03387;A_Finnerty_pathway;Alkanes
alkB;K00496;A_Terminal/biterminal_oxidation;Alkanes
alkF_rubA_rdx;K00496;A_Terminal/biterminal_oxidation;Alkanes
alkG_rubA_rdx;K03618;A_Terminal/biterminal_oxidation;Alkanes
alkG_rubA_rdx;K05297;A_Terminal/biterminal_oxidation;Alkanes
alkG_rubA1_rdx;K05297;A_Terminal/biterminal_oxidation;Alkanes
alkG_rubA2_rdx;K05297;A_Terminal/biterminal_oxidation;Alkanes
alkG_rubA3_rdx;K00496;A_Terminal/biterminal_oxidation;Alkanes
alkG_rubA4_rdx;K12264;A_Terminal/biterminal_oxidation;Alkanes
alkH_ald;K00128;A_Auxiliar_alkane_gene;Alkanes
alkH_ald;K00154;A_Auxiliar_alkane_gene;Alkanes
alkH_ald;K22445;A_Auxiliar_alkane_gene;Alkanes
alkJ_adh;K00108;A_Auxiliar_alkane_gene;Alkanes
alkL;K07275;A_Hydrocarbon_uptake;Alkanes
alkMa;K00496;A_Finnerty_pathway;Alkanes
alkMb;K00496;A_Finnerty_pathway;Alkanes
alkN_mcp;K02660;A_Hydrocarbon_uptake;Alkanes
alkN_mcp;K03406;A_Hydrocarbon_uptake;Alkanes
alkN_mcp;K10961;A_Hydrocarbon_uptake;Alkanes
alkS;K21748;A_Auxiliar_alkane_gene;Alkanes
alkS;K03556;A_Auxiliar_alkane_gene;Alkanes
alkT_rubB_rdxR;K12265;A_Terminal/biterminal_oxidation;Alkanes
alkT_rubB_rdxR;K05297;A_Terminal/biterminal_oxidation;Alkanes
alkT_rubB_rdxR;K00529;A_Terminal/biterminal_oxidation;Alkanes
alkT_rubB_rdxR;K00362;A_Terminal/biterminal_oxidation;Alkanes
alkT_rubB_rdxR;K21738;A_Terminal/biterminal_oxidation;Alkanes
almA;K03379;A_Terminal/biterminal_oxidation;Alkanes
almA;K10215;A_Terminal/biterminal_oxidation;Alkanes
blc;K03098;A_Hydrocarbon_uptake;Alkanes
blc;K07071;A_Hydrocarbon_uptake;Alkanes
bmoX;K16157;A_Terminal/biterminal_oxidation;Alkanes
bmoX;K21317;A_Terminal/biterminal_oxidation;Alkanes
bmoY;K21318;A_Terminal/biterminal_oxidation;Alkanes
bmoY;K16158;A_Terminal/biterminal_oxidation;Alkanes
bmoY;K15764;A_Terminal/biterminal_oxidation;Alkanes
bmoZ;K21319;A_Terminal/biterminal_oxidation;Alkanes
BVMO;K18371;A_Subterminal_oxidation;Alkanes
BVMO;K14520;A_Subterminal_oxidation;Alkanes
BVMO;K10215;A_Subterminal_oxidation;Alkanes
